Atomic Number,Element,Symbol,Atomic Weight,Phase,Electron Configuration
1,Hidrogênio,H,1.00794,gás,1s1
2,Hélio,He,4.002602,gás,1s2
3,Lítio,Li,6941,sólido,[He] 2s1
4,Berílio,Be,9.012182,sólido,[He] 2s2
5,Boro,B,10811,sólido,[He] 2s2 2p1
6,Carbono,C,12.0107,sólido,[He] 2s2 2p2
7,Nitrogênio,N,14.0067,gás,[He] 2s2 2p3
8,Oxigênio,O,15.9994,gás,[He] 2s2 2p4
9,Flúor,F,18.9984032,gás,[He] 2s2 2p5
10,Neônio,Ne,20.1797,gás,[He] 2s2 2p6
11,Sódio,Na,22.98976928,sólido,[Ne] 3s1
12,Magnésio,Mg,24305,sólido,[Ne] 3s2
13,Alumínio,Al,26.9815386,sólido,[Ne] 3s2 3p1
14,Sílicio,Si,28.0855,sólido,[Ne] 3s2 3p2
15,Fósforo,P,30.973762,sólido,[Ne] 3s2 3p3
16,Enxofre,S,32065,sólido,[Ne] 3s2 3p4
17,Cloro,Cl,35453,gás,[Ne] 3s2 3p5
18,Argônio,Ar,39948,gás,[Ne] 3s2 3p6
19,Potássio,K,39.0983,sólido,[Ar] 4s1
20,Cálcio,Ca,40078,sólido,[Ar] 4s2
21,Escândio,Sc,44.955912,sólido,[Ar] 3d1 4s2
22,Titânio,Ti,47867,sólido,[Ar] 3d2 4s2
23,Vanádio,V,50.9415,sólido,[Ar] 3d3 4s2
24,Crômio,Cr,51.9961,sólido,[Ar] 3d5 4s1
25,Manganês,Mn,54.938045,sólido,[Ar] 3d5 4s2
26,Ferro,Fe,55845,sólido,[Ar] 3d6 4s2
27,Cobalto,Co,58.933195,sólido,[Ar] 3d7 4s2
28,Níquel,Ni,58.6934,sólido,[Ar] 3d8 4s2
29,Cobre,Cu,63546,sólido,[Ar] 3d10 4s1
30,Zinco,Zn,65.38,sólido,[Ar] 3d10 4s2
31,Gálio,Ga,69723,sólido,[Ar] 3d10 4s2 4p1
32,Germânio,Ge,72.64,sólido,[Ar] 3d10 4s2 4p2
33,Arsênio,As,74.9216,sólido,[Ar] 3d10 4s2 4p3
34,Selênio,Se,78.96,sólido,[Ar] 3d10 4s2 4p4
35,Bromo,Br,79904,liquído,[Ar] 3d10 4s2 4p5
36,Criptônio,Kr,83798,gás,[Ar] 3d10 4s2 4p6
37,Rubídio,Rb,85.4678,sólido,[Kr] 5s1
38,Estrôncio,Sr,87.62,sólido,[Kr] 5s2
