Atomic Number,Element,Symbol,Atomic Weight,Phase,Electron Configuration
1,Hydrogen,H,1.00794,gas,1s1
2,Helium,He,4.002602,gas,1s2
3,Lithium,Li,6941,solid,[He] 2s1
4,Beryllium,Be,9.012182,solid,[He] 2s2
5,Boron,B,10811,solid,[He] 2s2 2p1
6,Carbon,C,12.0107,solid,[He] 2s2 2p2
7,Nitrogen,N,14.0067,gas,[He] 2s2 2p3
8,Oxygen,O,15.9994,gas,[He] 2s2 2p4
9,Fluorine,F,18.9984032,gas,[He] 2s2 2p5
10,Neon,Ne,20.1797,gas,[He] 2s2 2p6
11,Sodium,Na,22.98976928,solid,[Ne] 3s1
12,Magnesium,Mg,24305,solid,[Ne] 3s2
13,Aluminum,Al,26.9815386,solid,[Ne] 3s2 3p1
14,Silicon,Si,28.0855,solid,[Ne] 3s2 3p2
15,Phosphorus,P,30.973762,solid,[Ne] 3s2 3p3
16,Sulfur,S,32065,solid,[Ne] 3s2 3p4
17,Chlorine,Cl,35453,gas,[Ne] 3s2 3p5
18,Argon,Ar,39948,gas,[Ne] 3s2 3p6
19,Potassium,K,39.0983,solid,[Ar] 4s1
20,Calcium,Ca,40078,solid,[Ar] 4s2
21,Scandium,Sc,44.955912,solid,[Ar] 3d1 4s2
22,Titanium,Ti,47867,solid,[Ar] 3d2 4s2
23,Vanadium,V,50.9415,solid,[Ar] 3d3 4s2
24,Chromium,Cr,51.9961,solid,[Ar] 3d5 4s1
25,Manganese,Mn,54.938045,solid,[Ar] 3d5 4s2
26,Iron,Fe,55845,solid,[Ar] 3d6 4s2
27,Cobalt,Co,58.933195,solid,[Ar] 3d7 4s2
28,Nickel,Ni,58.6934,solid,[Ar] 3d8 4s2
29,Copper,Cu,63546,solid,[Ar] 3d10 4s1
30,Zinc,Zn,65.38,solid,[Ar] 3d10 4s2
31,Gallium,Ga,69723,solid,[Ar] 3d10 4s2 4p1
32,Germanium,Ge,72.64,solid,[Ar] 3d10 4s2 4p2
33,Arsenic,As,74.9216,solid,[Ar] 3d10 4s2 4p3
34,Selenium,Se,78.96,solid,[Ar] 3d10 4s2 4p4
35,Bromine,Br,79904,liq,[Ar] 3d10 4s2 4p5
36,Krypton,Kr,83798,gas,[Ar] 3d10 4s2 4p6
37,Rubidium,Rb,85.4678,solid,[Kr] 5s1
38,Strontium,Sr,87.62,solid,[Kr] 5s2
39,Yttrium,Y,88.90585,solid,[Kr] 4d1 5s2
40,Zirconium,Zr,91224,solid,[Kr] 4d2 5s2
41,Niobium,Nb,92.90638,solid,[Kr] 4d4 5s1
42,Molybdenum,Mo,95.96,solid,[Kr] 4d5 5s1
43,Technetium,Tc,98,artificial,[Kr] 4d5 5s2
44,Ruthenium,Ru,101.07,solid,[Kr] 4d7 5s1
45,Rhodium,Rh,102.9055,solid,[Kr] 4d8 5s1
46,Palladium,Pd,106.42,solid,[Kr] 4d10
47,Silver,Ag,107.8682,solid,[Kr] 4d10 5s1
48,Cadmium,Cd,112411,solid,[Kr] 4d10 5s2
49,Indium,In,114818,solid,[Kr] 4d10 5s2 5p1
50,Tin,Sn,118.71,solid,[Kr] 4d10 5s2 5p2
51,Antimony,Sb,121.76,solid,[Kr] 4d10 5s2 5p3
52,Tellurium,Te,127.6,solid,[Kr] 4d10 5s2 5p4
53,Iodine,I,126.90447,solid,[Kr] 4d10 5s2 5p5
54,Xenon,Xe,131293,gas,[Kr] 4d10 5s2 5p6
55,Cesium,Cs,132.9054519,solid,[Xe] 6s1
56,Barium,Ba,137327,solid,[Xe] 6s2
57,Lanthanum,La,138.90547,solid,[Xe] 5d1 6s2
58,Cerium,Ce,140116,solid,[Xe] 4f1 5d1 6s2
59,Praseodymium,Pr,140.90765,solid,[Xe] 4f3 6s2
60,Neodymium,Nd,144242,solid,[Xe] 4f4 6s2
61,Promethium,Pm,145,artificial,[Xe] 4f5 6s2
62,Samarium,Sm,150.36,solid,[Xe] 4f6 6s2
63,Europium,Eu,151964,solid,[Xe] 4f7 6s2
64,Gadolinium,Gd,157.25,solid,[Xe] 4f7 5d1 6s2
65,Terbium,Tb,158.92535,solid,[Xe] 4f9 6s2
66,Dysprosium,Dy,162.5,solid,[Xe] 4f10 6s2
67,Holmium,Ho,164.93032,solid,[Xe] 4f11 6s2
68,Erbium,Er,167259,solid,[Xe] 4f12 6s2
69,Thulium,Tm,168.93421,solid,[Xe] 4f13 6s2
70,Ytterbium,Yb,173054,solid,[Xe] 4f14 6s2
71,Lutetium,Lu,174.9668,solid,[Xe] 4f14 5d1 6s2
72,Hafnium,Hf,178.49,solid,[Xe] 4f14 5d2 6s2
73,Tantalum,Ta,180.94788,solid,[Xe] 4f14 5d3 6s2
74,Wolfram,W,183.84,solid,[Xe] 4f14 5d4 6s2
75,Rhenium,Re,186207,solid,[Xe] 4f14 5d5 6s2
76,Osmium,Os,190.23,solid,[Xe] 4f14 5d6 6s2
77,Iridium,Ir,192217,solid,[Xe] 4f14 5d7 6s2
78,Platinum,Pt,195084,solid,[Xe] 4f14 5d9 6s1
79,Gold,Au,196.966569,solid,[Xe] 4f14 5d10 6s1
80,Mercury,Hg,200.59,liq,[Xe] 4f14 5d10 6s2
81,Thallium,Tl,204.3833,solid,[Xe] 4f14 5d10 6s2 6p1
82,Lead,Pb,207.2,solid,[Xe] 4f14 5d10 6s2 6p2
83,Bismuth,Bi,208.9804,solid,[Xe] 4f14 5d10 6s2 6p3
84,Polonium,Po,210,solid,[Xe] 4f14 5d10 6s2 6p4
85,Astatine,At,210,solid,[Xe] 4f14 5d10 6s2 6p5
86,Radon,Rn,222,gas,[Xe] 4f14 5d10 6s2 6p6
87,Francium,Fr,223,solid,[Rn] 7s1
88,Radium,Ra,226,solid,[Rn] 7s2
89,Actinium,Ac,227,solid,[Rn] 6d1 7s2
90,Thorium,Th,232.03806,solid,[Rn] 6d2 7s2
91,Protactinium,Pa,231.03588,solid,[Rn] 5f2 6d1 7s2
92,Uranium,U,238.02891,solid,[Rn] 5f3 6d1 7s2
93,Neptunium,Np,237,artificial,[Rn] 5f4 6d1 7s2
94,Plutonium,Pu,244,artificial,[Rn] 5f6 7s2
95,Americium,Am,243,artificial,[Rn] 5f7 7s2
96,Curium,Cm,247,artificial,
97,Berkelium,Bk,247,artificial,
98,Californium,Cf,251,artificial,
99,Einsteinium,Es,252,artificial,
100,Fermium,Fm,257,artificial,
101,Mendelevium,Md,258,artificial,
102,Nobelium,No,259,artificial,
103,Lawrencium,Lr,262,artificial,
104,Rutherfordium,Rf,261,artificial,
105,Dubnium,Db,262,artificial,
106,Seaborgium,Sg,266,artificial,
107,Bohrium,Bh,264,artificial,
108,Hassium,Hs,267,artificial,
109,Meitnerium,Mt,268,artificial,
110,Darmstadtium ,Ds ,271,artificial,
111,Roentgenium ,Rg ,272,artificial,
112,Copernicium ,Cn ,285,artificial,
113,Ununtrium ,Uut ,284,artificial,
114,Ununquadium ,Uuq ,289,artificial,
115,Ununpentium ,Uup ,288,artificial,
116,Ununhexium ,Uuh ,292,artificial,
117,Ununseptium ,Uus ,295,artificial,
118,Ununoctium ,Uuo ,294,artificial,
